dataset,total_classes,k,algorithm,seed,final_accuracy,epochs,training_time_s,timestamp,git_commit
cifar100-subset,10,3,ComCo,42,75.4,500,3576.9,2026-08-14T06:59:40.270777,2b04963
cifar100-subset,10,5,ComCo,42,73.3,500,3581.9,2026-08-14T07:59:22.550637,2b04963
cifar100-subset,10,8,ComCo,42,64.7,500,3567.7,2026-08-14T08:58:50.554139,2b04963
cifar100-subset,10,9,ComCo,42,47.6,500,3588.5,2026-08-14T09:58:39.387934,2b04963
cifar100-subset,20,1,ComCo,42,74.5,500,7575.1,2026-08-14T12:04:54.803717,2b04963
cifar100-subset,20,2,ComCo,42,77.1,500,7618.9,2026-08-14T14:11:54.275813,2b04963
cifar100-subset,20,3,ComCo,42,75.8,500,7594.1,2026-08-14T16:18:28.926160,2b04963
cifar100-subset,20,5,ComCo,42,74.8,500,7674.7,2026-08-14T18:26:24.208968,2b04963
cifar100-subset,20,10,ComCo,42,70.8,500,7537.2,2026-08-14T20:32:01.987277,2b04963
cifar100-subset,20,15,ComCo,42,62.3,500,7899.4,2026-08-14T22:43:41.995410,2cb3935
cifar100-subset,20,19,ComCo,42,35.0,500,5042.4,2026-08-16T03:32:31.070381,951d87e
cifar100-subset,50,1,ComCo,42,68.9,500,11988.9,2026-08-16T06:52:20.641518,951d87e
cifar100-subset,50,2,ComCo,42,69.22,500,14173.8,2026-08-16T10:48:35.181937,951d87e
cifar100-subset,10,1,PRODEN,42,70.4,500,461.4,2026-08-14T04:07:59.175412,2b04963
cifar100-subset,10,2,PRODEN,42,68.9,500,462.1,2026-08-14T04:15:41.645393,2b04963
cifar100-subset,10,3,PRODEN,42,66.9,500,460.6,2026-08-14T04:23:22.616594,2b04963
cifar100-subset,10,5,PRODEN,42,60.5,500,459.8,2026-08-14T04:31:02.790899,2b04963
cifar100-subset,10,8,PRODEN,42,45.9,500,458.7,2026-08-14T04:38:41.868417,2b04963
cifar100-subset,10,9,PRODEN,42,33.6,500,457.3,2026-08-14T04:46:19.573347,2b04963
cifar100-subset,20,1,PRODEN,42,68.55,500,819.9,2026-08-14T04:59:59.736581,2b04963
cifar100-subset,20,2,PRODEN,42,66.1,500,811.8,2026-08-14T05:13:32.179964,2b04963
cifar100-subset,20,3,PRODEN,42,65.35,500,813.5,2026-08-14T05:27:06.262508,2b04963
cifar100-subset,20,5,PRODEN,42,60.6,500,819.7,2026-08-14T05:40:46.526804,2b04963
cifar100-subset,20,10,PRODEN,42,52.85,500,815.6,2026-08-14T05:54:22.655375,2b04963
cifar100-subset,20,15,PRODEN,42,37.85,500,819.4,2026-08-14T06:08:02.643162,2b04963
cifar100-subset,20,19,PRODEN,42,11.2,500,814.4,2026-08-14T06:21:37.632667,2b04963
cifar100-subset,50,1,PRODEN,42,58.98,500,1913.8,2026-08-14T06:53:32.044600,2b04963
cifar100-subset,50,2,PRODEN,42,57.98,500,1899.0,2026-08-14T07:25:12.241575,2b04963
cifar100-subset,50,3,PRODEN,42,56.26,500,1905.9,2026-08-14T07:56:59.382353,2b04963
cifar100-subset,50,5,PRODEN,42,54.4,500,1907.0,2026-08-14T08:28:47.582979,2b04963
cifar100-subset,50,12,PRODEN,42,44.22,500,1914.1,2026-08-14T09:00:43.000743,2b04963
cifar100-subset,50,25,PRODEN,42,27.12,500,1906.0,2026-08-14T09:32:30.571379,2b04963
cifar100-subset,50,38,PRODEN,42,13.14,500,1929.7,2026-08-14T10:04:41.560392,2b04963
cifar100-subset,50,49,PRODEN,42,1.84,500,1881.2,2026-08-14T10:36:03.977447,2b04963
cifar100-subset,10,1,PiCO-Fixed,42,78.7,500,2334.3,2026-08-14T22:36:18.075644,2cb3935
cifar100-subset,10,2,PiCO-Fixed,42,81.4,500,2232.5,2026-08-15T00:23:07.571697,b524fcf
cifar100-subset,10,3,PiCO-Fixed,42,76.9,500,2422.3,2026-08-15T01:03:30.126307,b524fcf
cifar100-subset,10,5,PiCO-Fixed,42,78.0,500,2717.2,2026-08-15T01:48:47.608431,b524fcf
cifar100-subset,10,8,PiCO-Fixed,42,33.1,500,2642.5,2026-08-15T02:32:50.410630,b524fcf
cifar100-subset,10,9,PiCO-Fixed,42,17.8,500,2583.7,2026-08-15T03:15:54.399684,b524fcf
cifar100-subset,20,1,PiCO-Fixed,42,76.5,500,5427.2,2026-08-15T04:46:21.794549,b524fcf
cifar100-subset,20,2,PiCO-Fixed,42,76.0,500,5478.1,2026-08-15T06:17:40.227074,b524fcf
cifar100-subset,20,3,PiCO-Fixed,42,78.65,500,4870.1,2026-08-15T07:38:50.725568,b524fcf
cifar100-subset,20,5,PiCO-Fixed,42,77.05,500,4720.1,2026-08-15T08:57:31.245685,b524fcf
cifar100-subset,20,10,PiCO-Fixed,42,53.55,500,4675.8,2026-08-15T10:15:27.375911,b524fcf
cifar100-subset,20,15,PiCO-Fixed,42,13.1,500,4991.1,2026-08-15T11:38:38.830501,b524fcf
cifar100-subset,20,19,PiCO-Fixed,42,5.2,500,4857.0,2026-08-15T12:59:36.226518,b524fcf
cifar100-subset,50,1,PiCO-Fixed,42,70.42,500,12938.1,2026-08-15T16:35:14.832933,951d87e
cifar100-subset,50,2,PiCO-Fixed,42,70.32,500,12397.8,2026-08-15T20:01:53.369054,951d87e
cifar100-subset,50,12,SCL-NL,42,31.72,500,3006.3,2026-08-15T21:01:46.556664,951d87e
cifar100-subset,50,25,SCL-NL,42,7.82,500,2815.2,2026-08-15T21:48:42.698219,951d87e
cifar100-subset,50,38,SCL-NL,42,3.62,500,2700.6,2026-08-15T22:33:44.069637,951d87e
cifar100-subset,50,49,SCL-NL,42,3.5,500,2794.1,2026-08-15T23:20:18.941541,951d87e
cifar100-subset,50,3,PiCO-Fixed,42,69.8,500,13104.8,2026-08-15T23:40:19.098134,951d87e
cifar100-subset,50,5,PiCO-Fixed,42,70.14,500,13658.2,2026-08-16T03:27:58.076077,951d87e
cifar100-subset,50,12,PiCO-Fixed,42,56.22,500,12609.7,2026-08-16T06:58:08.736197,951d87e
cifar100-subset,50,25,PiCO-Fixed,42,13.98,500,14879.8,2026-08-16T11:06:09.398428,951d87e
cifar100-subset,10,1,MCL-LOG,42,71.8,500,1067.1,2026-08-14T04:18:04.865254,2b04963
cifar100-subset,10,2,MCL-LOG,42,70.5,500,1073.8,2026-08-14T04:35:59.062778,2b04963
cifar100-subset,10,3,MCL-LOG,42,68.1,500,1076.4,2026-08-14T04:53:55.809734,2b04963
cifar100-subset,10,5,MCL-LOG,42,62.8,500,1071.6,2026-08-14T05:11:47.795397,2b04963
cifar100-subset,10,8,MCL-LOG,42,47.6,500,1069.8,2026-08-14T05:29:37.947933,2b04963
cifar100-subset,10,9,MCL-LOG,42,37.5,500,1060.8,2026-08-14T05:47:19.124811,2b04963
